sequence_id	C300097.lib1	C300098.lib1	C300099.lib1	C300100.lib1	C300101.lib1	C300102.lib1	C300103.lib1	C300104.lib1	C300105.lib1	C300106.lib1	C300107.lib1	C300108.lib1	C300109.lib1	C300110.lib1	C300111.lib1	C300112.lib1	C300113.lib1	C300114.lib1	C300115.lib1	C300116.lib1	C300117.lib1	C300118.lib1	C300119.lib1	C300120.lib1	C300121.lib1	C300122.lib1	C300123.lib1	C300124.lib1	C300125.lib1	C300126.lib1	C300127.lib1	C300128.lib1	C300129.lib1	C300130.lib1	C300131.lib1	C300132.lib1	C300133.lib1	C300134.lib1	C300135.lib1	C300136.lib1	C300137.lib1	C300138.lib1	C300139.lib1	C300140.lib1	C300141.lib1	C300142.lib1	C300143.lib1	C300144.lib1	C300145.lib1	C300146.lib1	C300147.lib1	C300148.lib1	C300149.lib1	C300150.lib1	C300151.lib1	C300152.lib1	C300153.lib1	C300154.lib1	C300155.lib1	C300156.lib1	C300157.lib1	C300158.lib1	C300159.lib1	C300160.lib1	C300161.lib1	C300162.lib1	C300163.lib1	C300164.lib1	C300165.lib1	C300166.lib1	C300167.lib1	C300168.lib1	C300169.lib1	C300170.lib1	C300171.lib1	C300172.lib1	C300173.lib1	C300174.lib1	C300175.lib1	C300176.lib1	C300177.lib1	C300178.lib1	C300179.lib1	C300180.lib1	C300181.lib1	C300182.lib1	C300183.lib1	C300184.lib1	C300185.lib1	C300186.lib1	C300187.lib1	C300188.lib1	C300189.lib1	C300190.lib1	C300191.lib1	C300192.lib1
pamy	7268929	7268854	7269067	7268891	7268849	7269078	7268895	7269050	7268998	7268899	7269047	7268636	7268888	7269083	7269077	7268763	7269157	7269101	7269047	7269144	7268964	7269011	7268883	7268598	4712	2559	3177	2075	3471	4127	5202	1349	3084	4610	1864	4973	987	2748	4757	2106	1603	2098	1388	3736	1227	2119	1944	5067	2395	1523	1469	2519	3864	2684	2422	1646	3572	3361	2993	2083	3261	1659	1447	4134	1767	2336	2123	3329	2844	2063	3345	2070	7269325	7269134	7269228	7269116	7269151	7269093	7269181	7269188	7269140	7269162	7269149	7269173	7269164	7269172	7269051	7269125	1140	704	391	627	248	489	1550	0
moxy	3989327	3989363	3989345	3989380	3989132	3989611	3989525	3989479	3989335	3989462	3989407	3989372	3989458	3989531	3989488	3989584	3989564	3989417	3989410	3989376	3989449	3989489	3989503	3989602	3989501	3989542	3989542	3989727	3989525	3989683	3989661	3989770	3989376	3989628	3989502	3989317	3989527	3989654	3989687	3989668	1541	6725	891	2281	2094	3504	2105	4745	8231	1193	15987	1493	2171	3802	67802	7763	2767	5707	1990	3737	2871	2053	1509	3577	1195	1348	841	987	1721	1677	2735	2185	1944	1404	2323	988	1811	875	1132	3474	445	2450	1321	2061	1648	1020	1788	3498	1103	4005	871	1308	1061	1763	2395	300
xret	4655448	4655399	4655410	4655418	4655432	4655426	4655414	4655467	4655408	4655442	4655381	4655304	4655444	4655406	4655417	4655417	4655418	4655440	4655409	4655437	4655411	4655381	4655403	4655424	21026	2989	2080	6143	4889	4389	4336	8120	23273	3180	2286	7001	3856	3367	14216	3016	4655422	4655484	4655423	4655426	4655495	4655465	4655458	4655484	4655458	4655488	4655434	4655457	4655431	4655446	4655476	4655511	200329	274699	216550	303623	311501	275102	174300	299864	140852	193088	153942	225776	286610	189331	176116	172714	7010	1868	5038	2533	2677	783	3273	9450	2355	2373	2869	4845	6027	2243	928	7382	16725	9011	10256	12738	12224	11679	12508	9884
shri	4215741	4215711	4215602	4215649	4214878	4215651	4215630	4215612	4215694	4215581	4215674	4215629	4215633	4215604	4215785	4215598	4215798	4215780	4215623	4215672	4215820	4215615	4215663	4215623	7833	1116	464	1516	2546	3405	4273	6678	5672	2519	506	6271	1213	1483	3713	2083	111563	113681	185745	279215	249503	236906	181475	259061	219464	156801	180957	240757	316561	213360	200860	123525	4215765	4215244	4215887	4215786	4215656	4216067	4215751	4215999	4216055	4216000	4215294	4215978	4216129	4215768	4216024	4215733	2940	1519	2722	954	1579	853	2666	2323	951	2172	998	1475	3260	1748	1219	1980	2047	2046	3011	3072	3104	2666	4253	1208
